"ID","아파트명","지번주소","세대수","임대수","동수","용적률","건폐율","주차대수"
"18213","개나리래미안","서울 강남구 역삼동 754",438,0,7,273,21,788
"17528","개나리푸르지오","서울 강남구 역삼동 755-1",332,0,5,275,17,552
"103376","개나리SK뷰","서울 강남구 역삼동 716-3",240,7,3,257,15,397
"126467","개봉가연(도시형)","서울 구로구 개봉동 202-15",24,0,1,303,59,6
"107","개봉대상","서울 구로구 개봉동 477",208,0,2,388,22,173
"22642","개봉상우(상우2단지)","서울 구로구 개봉동 487",72,0,1,386,23,72
"17538","개봉아이파크","서울 구로구 개봉동 489",684,0,11,288,18,827
"9157","개봉진로","서울 구로구 개봉동 479",72,0,1,238,29,0
"101847","개봉청구","서울 구로구 고척동 269-1",59,0,1,232,49,16
"104934","개봉푸르지오","서울 구로구 개봉동 492",978,115,10,299,20,1175
"15732","개봉프라자","서울 구로구 개봉동 361-1",19,0,1,0,0,0
"1062","개봉한진타운","서울 구로구 개봉동 478",1371,0,13,345,25,1459
"109890","개성팰리스","서울 은평구 역촌동 234",28,0,1,200,38,28
"103592","개성하이뷰","서울 은평구 신사동 7-11",18,0,1,199,50,21
"119219","개포래미안포레스트","서울 강남구 개포동 656",2296,120,31,249,20,3939
"271","개포럭키","서울 강남구 도곡동 462",128,0,2,187,24,130
"107513","개포상지리츠빌","서울 강남구 개포동 176-1",18,0,1,202,31,41
"65","개포우성1차","서울 강남구 대치동 503",690,0,9,178,12,828
"91","개포우성2차","서울 강남구 대치동 500",450,0,5,0,0,540
"276","개포우성4차","서울 강남구 도곡동 465",459,0,8,149,17,0
"294","개포우성5차","서울 강남구 도곡동 463-1",180,0,4,179,28,144
"1298","개포주공5단지","서울 강남구 개포동 187",940,0,6,151,12,912
"1303","개포주공6단지","서울 강남구 개포동 185",1060,0,9,0,0,300
"1307","개포주공7단지","서울 강남구 개포동 185",900,0,8,0,0,400
"128527","개포프레지던스자이","서울 강남구 개포동 189번지 일원",3375,220,35,249,18,5881
"304","개포한신","서울 강남구 도곡동 464",620,0,8,145,17,930
"943","개포한신","서울 강남구 일원동 615-1",364,0,4,179,17,292
"103385","개포현대(200동)","서울 강남구 개포동 655-1",72,0,1,0,0,0
"10329","개포현대2차(220동)","서울 강남구 개포동 655-2",54,0,1,185,20,0
"961","개포현대4차","서울 강남구 일원동 614",142,0,1,199,0,99
"8967","개포현대5차","서울 강남구 개포동 172-3",18,0,1,167,24,23
"10863","개포현대6차","서울 강남구 개포동 1242-2",19,0,1,238,42,19
"25451","개화산경남아너스빌","서울 강서구 방화동 887",91,0,2,218,27,99
"9315","개화산동부센트레빌","서울 강서구 방화동 870",205,0,4,275,26,215
"15905","갤러리빌","서울 강남구 역삼동 656-17",32,0,4,0,0,24
"102690","갤러리아트","서울 강남구 역삼동 783-28",15,0,1,250,59,14
"12236","갤러리아팰리스","서울 송파구 잠실동 40",741,0,3,799,34,935
"27620","갤러리아포레","서울 성동구 성수동1가 685-696",230,0,2,399,41,1504
"11071","갤러리하우스","서울 강남구 역삼동 783-3",17,0,1,223,54,15
"15579","갤러리하우스","서울 서초구 서초동 1508-39",15,0,1,249,59,30
"117752","갤럭시마곡2","서울 강서구 마곡동 5-1",12,0,1,249,48,8
"111496","갤럭시빌","서울 강서구 가양동 248-2",12,0,1,249,59,8
"106782","갤럭시타운(도시형)","서울 은평구 불광동 281-81",24,0,1,458,58,12
"136166","갤럭시하월곡","서울 성북구 하월곡동 90-260",14,0,1,399,48,6
"12996","갯마을신동아","서울 동작구 동작동 329",44,0,1,197,29,43
"103397","거산","서울 양천구 신월동 21-4",19,0,1,299,59,19
"125083","거상센스빌","서울 금천구 시흥동 960-5",13,0,1,199,47,13
"106055","거상장미","서울 금천구 시흥동 953-5",19,0,1,178,39,19
"120790","거상홈타운(우창)","서울 금천구 시흥동 949-6",28,0,2,0,0,27
"11560","거성","서울 구로구 개봉동 270-80",190,0,5,147,29,0
"116064","거성","서울 은평구 녹번동 83-37",14,0,1,298,46,15
"121219","거성","서울 강서구 화곡동 29-68",10,0,1,275,59,7
"105968","거성리젠시(121-52,도시형)","서울 은평구 응암동 121-52",15,0,1,354,58,8
"135905","거성리젠시(126-10,도시형)","서울 은평구 응암동 126-10",16,0,1,399,59,10
"27175","거성리젠시(44-23)","서울 은평구 역촌동 44-23",18,0,1,399,59,17
"120370","거성리젠시(44-6)","서울 은평구 역촌동 44-6",20,0,1,399,52,19
